,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
386.22256,ArrCl,AccFA 386.22256  |   ArrCl 391.15137,1,0,,67,1231.1608,
386.22256,AccFA,AccSrv 386.22256,0,0,,67,1231.1608,
386.22256,AccSrv,DepCl 391.38257,1,1,,67,1231.1608,
391.15137,ArrCl,AccFA 391.15137  |   ArrCl 397.8851,0,0,,68,1231.1608,
391.15137,AccFA,,1,0,,68,1231.1608,
391.38257,DepCl,AccSrv 391.38257,0,0,,68,1231.1608,
391.38257,AccSrv,DepCl 396.54257,0,1,,68,1231.392,
396.54257,DepCl,,0,0,,68,1231.392,
397.8851,ArrCl,AccFA 397.8851  |   ArrCl 399.13895,1,0,,69,1231.392,
397.8851,AccFA,AccSrv 397.8851,0,0,,69,1231.392,
397.8851,AccSrv,DepCl 403.0451,1,1,,69,1231.392,
399.13895,ArrCl,AccFA 399.13895  |   ArrCl 402.9355,0,0,,70,1231.392,
399.13895,AccFA,,1,0,,70,1231.392,
402.9355,ArrCl,AccFA 402.9355  |   ArrCl 406.1412,1,0,,71,1231.392,
402.9355,AccFA,,1,1,,71,1231.392,
403.0451,DepCl,AccSrv 403.0451,0,0,,71,1231.392,
403.0451,AccSrv,DepCl 408.2051,0,2,,71,1235.2981,
406.1412,ArrCl,AccFA 406.1412  |   ArrCl 406.9313,1,1,,72,1235.2981,
406.1412,AccFA,,1,1,,72,1235.2981,
406.9313,ArrCl,AccFA 406.9313  |   ArrCl 414.34393,1,1,,73,1235.2981,
406.9313,AccFA,,1,2,,73,1235.2981,
408.2051,DepCl,AccSrv 408.2051,0,1,,73,1235.2981,
408.2051,AccSrv,DepCl 413.3651,0,3,,73,1240.5677,
413.3651,DepCl,AccSrv 413.3651,0,2,,73,1240.5677,
413.3651,AccSrv,DepCl 418.52512,0,2,,73,1247.7916,
414.34393,ArrCl,AccFA 414.34393  |   ArrCl 418.8772,1,2,,74,1247.7916,
414.34393,AccFA,,1,1,,74,1247.7916,
418.52512,DepCl,AccSrv 418.52512,0,1,,74,1247.7916,
418.52512,AccSrv,DepCl 423.68512,0,2,,74,1259.3855,
418.8772,ArrCl,AccFA 418.8772  |   ArrCl 425.40155,1,1,,75,1259.3855,
418.8772,AccFA,,1,1,,75,1259.3855,
423.68512,DepCl,AccSrv 423.68512,0,1,,75,1259.3855,
423.68512,AccSrv,DepCl 428.84512,0,2,,75,1268.7267,
425.40155,ArrCl,AccFA 425.40155  |   ArrCl 429.1094,1,1,,76,1268.7267,
425.40155,AccFA,,1,1,,76,1268.7267,
428.84512,DepCl,AccSrv 428.84512,0,1,,76,1268.7267,
428.84512,AccSrv,DepCl 434.00513,0,2,,76,1278.6946,
429.1094,ArrCl,AccFA 429.1094  |   ArrCl 436.49048,1,1,,77,1278.6946,
429.1094,AccFA,,1,1,,77,1278.6946,
434.00513,DepCl,AccSrv 434.00513,0,1,,77,1278.6946,
434.00513,AccSrv,DepCl 439.16513,0,2,,77,1287.2981,
436.49048,ArrCl,AccFA 436.49048  |   ArrCl 437.10684,1,1,,78,1287.2981,
436.49048,AccFA,,1,1,,78,1287.2981,
437.10684,ArrCl,AccFA 437.10684  |   ArrCl 437.7337,1,1,,79,1287.2981,
437.10684,AccFA,,1,2,,79,1287.2981,
437.7337,ArrCl,AccFA 437.7337  |   ArrCl 450.43787,1,2,,80,1287.2981,
437.7337,AccFA,,1,3,,80,1287.2981,
439.16513,DepCl,AccSrv 439.16513,0,1,,80,1287.2981,
439.16513,AccSrv,DepCl 444.32513,0,4,,80,1297.3538,
444.32513,DepCl,AccSrv 444.32513,0,3,,80,1297.3538,
444.32513,AccSrv,DepCl 449.48514,0,3,,80,1305.1885,
449.48514,DepCl,AccSrv 449.48514,0,2,,80,1305.1885,
449.48514,AccSrv,DepCl 454.64514,0,2,,80,1317.5668,
450.43787,ArrCl,AccFA 450.43787  |   ArrCl 451.28302,1,3,,81,1317.5668,
450.43787,AccFA,,1,1,,81,1317.5668,
451.28302,ArrCl,AccFA 451.28302  |   ArrCl 453.21597,1,1,,82,1317.5668,
451.28302,AccFA,,1,2,,82,1317.5668,
453.21597,ArrCl,AccFA 453.21597  |   ArrCl 461.19794,1,2,,83,1317.5668,
453.21597,AccFA,,1,3,,83,1317.5668,
454.64514,DepCl,AccSrv 454.64514,0,1,,83,1317.5668,
454.64514,AccSrv,DepCl 459.80515,0,4,,83,1334.4783,
459.80515,DepCl,AccSrv 459.80515,0,3,,83,1334.4783,
459.80515,AccSrv,DepCl 464.96515,0,3,,83,1343.8456,
461.19794,ArrCl,AccFA 461.19794  |   ArrCl 462.77228,1,3,,84,1343.8456,
461.19794,AccFA,,1,2,,84,1343.8456,
462.77228,ArrCl,AccFA 462.77228  |   ArrCl 473.11407,1,2,,85,1343.8456,
462.77228,AccFA,,1,3,,85,1343.8456,
464.96515,DepCl,AccSrv 464.96515,0,2,,85,1343.8456,
464.96515,AccSrv,DepCl 470.12515,0,4,,85,1357.5277,
470.12515,DepCl,AccSrv 470.12515,0,3,,85,1357.5277,
470.12515,AccSrv,DepCl 475.28516,0,3,,85,1374.4369,
473.11407,ArrCl,AccFA 473.11407  |   ArrCl 476.54266,1,3,,86,1374.4369,
473.11407,AccFA,,1,2,,86,1374.4369,
475.28516,DepCl,AccSrv 475.28516,0,2,,86,1374.4369,
475.28516,AccSrv,DepCl 480.44516,0,3,,86,1388.5242,
476.54266,ArrCl,AccFA 476.54266  |   ArrCl 485.92255,1,2,,87,1388.5242,
476.54266,AccFA,,1,2,,87,1388.5242,
480.44516,DepCl,AccSrv 480.44516,0,2,,87,1388.5242,
480.44516,AccSrv,DepCl 485.60516,0,3,,87,1406.197,
485.60516,DepCl,AccSrv 485.60516,0,2,,87,1406.197,
485.60516,AccSrv,DepCl 490.76517,0,2,,87,1418.6881,
485.92255,ArrCl,AccFA 485.92255  |   ArrCl 486.82648,1,2,,88,1418.6881,
485.92255,AccFA,,1,1,,88,1418.6881,
486.82648,ArrCl,AccFA 486.82648  |   ArrCl 489.4235,1,1,,89,1418.6881,
486.82648,AccFA,,1,2,,89,1418.6881,
489.4235,ArrCl,AccFA 489.4235  |   ArrCl 493.1088,1,2,,90,1418.6881,
489.4235,AccFA,,1,3,,90,1418.6881,
